field_id,question_text
QUESTIONNAIR_intro_1,Questionnaire Administration and Quality-Control Information > Questionnaire Administration and Quality-Control Information > Questionnaire Version
QUESTIONNAIR_intro_2,Questionnaire Administration and Quality-Control Information > Questionnaire Administration and Quality-Control Information > Date of Version
QUESTIONNAIR_intro_3,Questionnaire Administration and Quality-Control Information > Questionnaire Administration and Quality-Control Information > Questionnaire Control Number
QUESTIONNAIR_intro_4,Questionnaire Administration and Quality-Control Information > Questionnaire Administration and Quality-Control Information > Borrower / Sampling Frame ID
QUESTIONNAIR_intro_5,Questionnaire Administration and Quality-Control Information > Questionnaire Administration and Quality-Control Information > Enumerator Name / ID
QUESTIONNAIR_intro_6,Questionnaire Administration and Quality-Control Information > Questionnaire Administration and Quality-Control Information > Supervisor Name / ID
QUESTIONNAIR_intro_7,Questionnaire Administration and Quality-Control Information > Questionnaire Administration and Quality-Control Information > Date of Interview
QUESTIONNAIR_intro_8,Questionnaire Administration and Quality-Control Information > Questionnaire Administration and Quality-Control Information > Interview Start Time
QUESTIONNAIR_intro_9,Questionnaire Administration and Quality-Control Information > Questionnaire Administration and Quality-Control Information > Interview End Time
QUESTIONNAIR_intro_10,Questionnaire Administration and Quality-Control Information > Questionnaire Administration and Quality-Control Information > Language Primarily Used:
QUESTIONNAIR_intro_11,Questionnaire Administration and Quality-Control Information > Questionnaire Administration and Quality-Control Information > Interview Mode:
Consent_to_Participa_1,Introduction and Informed Consent > Consent to Participate > Do you voluntarily agree to participate in this survey?
Consent_for_Possible_1,"Introduction and Informed Consent > Consent for Possible Validation / Back-check > May the research team contact you again, if necessary, for a brief validation or back-check related to this survey?"
Consent_Confirmation_1,Introduction and Informed Consent > Consent Confirmation > Enumerator Attestation
Consent_Confirmation_4,Introduction and Informed Consent > Consent Confirmation > Respondent Signature (optional)
A1_1,Borrower Identification and Eligibility Screening > Location of Interview > Region
A1_2,Borrower Identification and Eligibility Screening > Location of Interview > Province
A1_3,Borrower Identification and Eligibility Screening > Location of Interview > Municipality/City
A1_4,Borrower Identification and Eligibility Screening > Location of Interview > Barangay
A1_5,Borrower Identification and Eligibility Screening > Location of Interview > Island Group:
A2_1,"Borrower Identification and Eligibility Screening > Borrower Type > Based on the approved borrower sampling frame, is the AGRISENSO Plus borrower:"
A3_1,Borrower Identification and Eligibility Screening > Borrower Segment > Confirm the borrower segment against the approved sampling frame.
A4_1,Borrower Identification and Eligibility Screening > Name of Borrower / Borrowing Entity > Name of borrower
A4_2,Borrower Identification and Eligibility Screening > Name of Borrower / Borrowing Entity > Name of borrowing organization / enterprise
A5_1,Borrower Identification and Eligibility Screening > AGRISENSO Plus Loan Agreement Verification > Does the approved borrower list or other authorized Program record confirm that this individual or organization has an existing AGRISENSO Plus Program loan agreement with LANDBANK?
A6_1,"Borrower Identification and Eligibility Screening > Status of Loan Release > Under the existing AGRISENSO Plus loan agreement, has any portion of the approved loan already been released/disbursed?"
A7_1,Borrower Identification and Eligibility Screening > Individual Borrower Eligibility > Is the respondent the individual named as the borrower under the AGRISENSO Plus loan agreement?
A7_2,Borrower Identification and Eligibility Screening > Individual Borrower Eligibility > Is the respondent at least 18 years old?
