field_id,question_text
QUESTIONNAIR_intro_1,Questionnaire Administration and Quality-Control Information > Questionnaire Administration and Quality-Control Information > Questionnaire Version
QUESTIONNAIR_intro_2,Questionnaire Administration and Quality-Control Information > Questionnaire Administration and Quality-Control Information > Date of Version
QUESTIONNAIR_intro_3,Questionnaire Administration and Quality-Control Information > Questionnaire Administration and Quality-Control Information > Questionnaire Control Number
QUESTIONNAIR_intro_4,Questionnaire Administration and Quality-Control Information > Questionnaire Administration and Quality-Control Information > Comparison-Group Sampling Frame ID
QUESTIONNAIR_intro_5,Questionnaire Administration and Quality-Control Information > Questionnaire Administration and Quality-Control Information > Enumerator Name / ID
QUESTIONNAIR_intro_6,Questionnaire Administration and Quality-Control Information > Questionnaire Administration and Quality-Control Information > Supervisor Name / ID
QUESTIONNAIR_intro_7,Questionnaire Administration and Quality-Control Information > Questionnaire Administration and Quality-Control Information > Date of Interview
QUESTIONNAIR_intro_8,Questionnaire Administration and Quality-Control Information > Questionnaire Administration and Quality-Control Information > Interview Start Time
QUESTIONNAIR_intro_9,Questionnaire Administration and Quality-Control Information > Questionnaire Administration and Quality-Control Information > Interview End Time
QUESTIONNAIR_intro_10,Questionnaire Administration and Quality-Control Information > Questionnaire Administration and Quality-Control Information > Language Primarily Used:
QUESTIONNAIR_intro_11,Questionnaire Administration and Quality-Control Information > Questionnaire Administration and Quality-Control Information > Interview Mode:
Consent_to_Participa_1,Introduction and Informed Consent > Consent to Participate > Do you voluntarily agree to participate?
Consent_for_Possible_1,"Introduction and Informed Consent > Consent for Possible Validation / Back-check > May the research team contact you again, if necessary, for a brief validation or back-check?"
Consent_Confirmation_1,Introduction and Informed Consent > Consent Confirmation > Enumerator Attestation
Consent_Confirmation_4,Introduction and Informed Consent > Consent Confirmation > Respondent Signature (optional)
A1_1,Identification and Eligibility Screening > Location of Interview > Region
A1_2,Identification and Eligibility Screening > Location of Interview > Province
A1_3,Identification and Eligibility Screening > Location of Interview > Municipality/City
A1_4,Identification and Eligibility Screening > Location of Interview > Barangay
A1_5,Identification and Eligibility Screening > Location of Interview > Island Group:
A2_1,"Identification and Eligibility Screening > Respondent Type > Based on the approved comparison-group sampling frame, is the respondent:"
A3_1,Identification and Eligibility Screening > Respondent Segment > Respondent Segment
A4_1,Identification and Eligibility Screening > Respondent / Organization Name > Name
A4_2,Identification and Eligibility Screening > Respondent / Organization Name > Name of organization / enterprise
A5_1,Identification and Eligibility Screening > Current AGRISENSO Plus Loan Agreement Verification > Does the respondent or organization currently have an AGRISENSO Plus Program loan agreement with LANDBANK?
A6_1,"Identification and Eligibility Screening > Previous AGRISENSO Plus Loan Agreement > Has the respondent or organization ever previously had an AGRISENSO Plus Program loan agreement with LANDBANK, including one that has already been fully paid, closed, or terminated?"
A7_1,"Identification and Eligibility Screening > Current AGRISENSO Plus Application Status > Are you or your organization currently applying for, or have you previously attempted to apply for, AGRISENSO Plus financing?"
A8_1,Identification and Eligibility Screening > Individual Respondent Eligibility > Is the respondent at least 18 years old?
A8_2,"Identification and Eligibility Screening > Individual Respondent Eligibility > Are you directly involved in decisions concerning your farm, fishery, livelihood, or agriculture-related enterprise?"
A9_1,Identification and Eligibility Screening > Organizational / Enterprise Respondent Eligibility > What is your role?
